node_id,node_type,game_id,display_name,name_en,name_raw,recipe_type,recipe_type_id,time_spend,item_type,item_type_id,stack_size,is_fluid,is_entity,can_build,hidden,obsolete,level,max_level
tech:1,tech_proto,1,Dyson Sphere Program,Dyson Sphere Program,T戴森球计划,,,,,,,,,,false,false,0,0
tech:1001,tech_proto,1001,Electromagnetism,Electromagnetism,T电磁学,,,,,,,,,,false,false,0,0
tech:1002,tech_proto,1002,Electromagnetic Matrix,Electromagnetic Matrix,T电磁矩阵,,,,,,,,,,false,false,0,0
tech:1101,tech_proto,1101,T高效电浆控制,,T高效电浆控制,,,,,,,,,,false,false,0,0
tech:1102,tech_proto,1102,Plasma Extract Refining,Plasma Extract Refining,T等离子萃取精炼,,,,,,,,,,false,false,0,0
tech:1103,tech_proto,1103,TX射线裂解,,TX射线裂解,,,,,,,,,,false,false,0,0
tech:1104,tech_proto,1104,T重整精炼,,T重整精炼,,,,,,,,,,false,false,0,0
tech:1105,tech_proto,1105,T电弧激光,,T电弧激光,,,,,,,,,,false,false,0,0
tech:1111,tech_proto,1111,Energy Matrix,Energy Matrix,T能量矩阵,,,,,,,,,,false,false,0,0
tech:1112,tech_proto,1112,T氢燃料棒,,T氢燃料棒,,,,,,,,,,false,false,0,0
tech:1113,tech_proto,1113,Thruster,Thruster,T推进器,,,,,,,,,,false,false,0,0
tech:1114,tech_proto,1114,Reinforced Thruster,Reinforced Thruster,T加力推进器,,,,,,,,,,false,false,0,0
tech:1120,tech_proto,1120,T流体储存封装,,T流体储存封装,,,,,,,,,,false,false,0,0
tech:1121,tech_proto,1121,T基础化工,,T基础化工,,,,,,,,,,false,false,0,0
tech:1122,tech_proto,1122,T高分子化工,,T高分子化工,,,,,,,,,,false,false,0,0
tech:1123,tech_proto,1123,High-Strength Crystal,High-Strength Crystal,T高强度晶体,,,,,,,,,,false,false,0,0
tech:1124,tech_proto,1124,Structure Matrix,Structure Matrix,T结构矩阵,,,,,,,,,,false,false,0,0
tech:1125,tech_proto,1125,T卡西米尔晶体,,T卡西米尔晶体,,,,,,,,,,false,false,0,0
tech:1126,tech_proto,1126,T高强度玻璃,,T高强度玻璃,,,,,,,,,,false,false,0,0
tech:1131,tech_proto,1131,T应用型超导体,,T应用型超导体,,,,,,,,,,false,false,0,0
tech:1132,tech_proto,1132,T高强度材料,,T高强度材料,,,,,,,,,,false,false,0,0
tech:1133,tech_proto,1133,T粒子可控技术,,T粒子可控技术,,,,,,,,,,false,false,0,0
tech:1134,tech_proto,1134,T重氢分馏,,T重氢分馏,,,,,,,,,,false,false,0,0
tech:1141,tech_proto,1141,T波函数干扰,,T波函数干扰,,,,,,,,,,false,false,0,0
tech:1142,tech_proto,1142,T微型粒子对撞机,,T微型粒子对撞机,,,,,,,,,,false,false,0,0
tech:1143,tech_proto,1143,T奇异物质,,T奇异物质,,,,,,,,,,false,false,0,0
tech:1144,tech_proto,1144,T人造恒星,,T人造恒星,,,,,,,,,,false,false,0,0
tech:1145,tech_proto,1145,T可控湮灭反应,,T可控湮灭反应,,,,,,,,,,false,false,0,0
tech:1151,tech_proto,1151,T增产剂 Mk.I,,T增产剂 Mk.I,,,,,,,,,,false,false,0,0
tech:1152,tech_proto,1152,T增产剂 Mk.II,,T增产剂 Mk.II,,,,,,,,,,false,false,0,0
tech:1153,tech_proto,1153,T增产剂 Mk.III,,T增产剂 Mk.III,,,,,,,,,,false,false,0,0
tech:1201,tech_proto,1201,T基础制造工艺,,T基础制造工艺,,,,,,,,,,false,false,0,0
